filename,cate,rules,description,problem_cnt,FP,XML_Path
AvoidUsingHardCodedIP1.java,bestpractices,AvoidUsingHardCodedIP,common basic case,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AvoidUsingHardCodedIP.xml
AvoidUsingHardCodedIP2.java,bestpractices,AvoidUsingHardCodedIP,not detected via string concatenation.,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AvoidUsingHardCodedIP.xml
AvoidUsingHardCodedIP3.java,bestpractices,AvoidUsingHardCodedIP,null literal does not puke.,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AvoidUsingHardCodedIP.xml
AvoidUsingHardCodedIP4.java,bestpractices,AvoidUsingHardCodedIP,non string literal does not puke.,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AvoidUsingHardCodedIP.xml
AvoidUsingHardCodedIP5.java,bestpractices,AvoidUsingHardCodedIP,not an ip address string,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/AvoidUsingHardCodedIP.xml
GuardLogStatement0.java,bestpractices,GuardLogStatement,"ok, guard is here - log4j",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement1.java,bestpractices,GuardLogStatement,"ok, no error expected - apache commons logging",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement2.java,bestpractices,GuardLogStatement,guarded call - ok - java util,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement3.java,bestpractices,GuardLogStatement,"ko, missing guard 1 - log4j",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement4.java,bestpractices,GuardLogStatement,"ko, missing guard 2 - log4j",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement5.java,bestpractices,GuardLogStatement,complex logging without guard - apache commons logging,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement6.java,bestpractices,GuardLogStatement,complex logging with misplaced guard - apache commons logging,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement7.java,bestpractices,GuardLogStatement,unguarded call - ko - java util,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement8.java,bestpractices,GuardLogStatement,ok #1189 guardlogstatementrule and guarddebugloggingrule broken for log4j2,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement9.java,bestpractices,GuardLogStatement,violation - wrong guard #1189 guardlogstatementrule and guarddebugloggingrule broken for log4j2,2,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement10.java,bestpractices,GuardLogStatement,violation - no if #1189 guardlogstatementrule and guarddebugloggingrule broken for log4j2,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement11.java,bestpractices,GuardLogStatement,#1224 guarddebuglogging broken in 5.1.1 - missing additive statement check in log statement - apache commons logging,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement12.java,bestpractices,GuardLogStatement,"#1341 pmd:guarddebuglogging violates logger.debug with format ""{}"" - slf4j",0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement13.java,bestpractices,GuardLogStatement,#1203 guardlogstatementjavautil issues warning for severe level not being specified as property,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement14.java,bestpractices,GuardLogStatement,"#1227 guardlogstatementjavautil doesn't catch log(level.fine, ""msg"" + "" msg"") calls",1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement15.java,bestpractices,GuardLogStatement,#1347 false positive for guardlogstatementjavautil with slf4j,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement16.java,bestpractices,GuardLogStatement,#1398 false positive for guardlogstatementjavautil with log4j,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement17.java,bestpractices,GuardLogStatement,#783 [java] guardlogstatement regression,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement18.java,bestpractices,GuardLogStatement,wrong guard method for java util logging,1,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement19.java,bestpractices,GuardLogStatement,#370 rule not considering lambdas,0,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement20.java,bestpractices,GuardLogStatement,#869 [java] guardlogstatement false positive with math.log,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement21.java,bestpractices,GuardLogStatement,#869 [java] guardlogstatement false positive with something.error on return,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement22.java,bestpractices,GuardLogStatement,#3155 false negatives with unguarded method calls,3,false,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
GuardLogStatement23.java,bestpractices,GuardLogStatement,[java] guardlogstatement: false positive with compile-time constant arguments #957,0,true,/home/vanguard/projects/SAMutator/scripts/xml_folder/bestpractices/xml/GuardLogStatement.xml
